,aff_city,aff_cityNow,aff_country,aff_countryNow,aff_locationString,aff_name,aff_nameNow,awardYear,category,categoryFullName,city,cityNow,continent,country,countryNow,date,dateAwarded,gender,id,knownName,locationString,motivation,portion,prizeAmount,prizeAmountAdjusted,prizeStatus,sortOrder,new_category,key_col,matches,check
110,Geneva,Geneva,Switzerland,Switzerland,"Geneva, Switzerland",CERN,CERN,1984,Physics,The Nobel Prize in Physics,Gorizia,Gorizia,Europe,Italy,Italy,1934-03-31,1984-10-17,male,124,Carlo Rubbia,"Gorizia, Italy","for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2,1650000,3782090,received,1,Physics,carlorubbia1984physics,,0
111,Bristol,Bristol,United Kingdom,United Kingdom,"Bristol, United Kingdom",Bristol University,Bristol University,1950,Physics,The Nobel Prize in Physics,Tonbridge,Tonbridge,Europe,United Kingdom,United Kingdom,1903-12-05,,male,55,Cecil Powell,"Tonbridge, United Kingdom",for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,1,164304,3050198,received,1,Physics,cecilpowell1950physics,,0
112,Sèvres,Sèvres,France,France,"Sèvres, France",Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Bureau International des Poids et Mesures (International Bureau of Weights and Measures),1920,Physics,The Nobel Prize in Physics,Fleurier,Fleurier,Europe,Switzerland,Switzerland,1861-02-15,,male,25,Charles Edouard Guillaume,"Fleurier, Switzerland",in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,1,134100,2394643,received,1,Physics,charlesedouardguillaume1920physics,,0
113,Edinburgh,Edinburgh,United Kingdom,United Kingdom,"Edinburgh, United Kingdom",Edinburgh University,Edinburgh University,1917,Physics,The Nobel Prize in Physics,Widnes,Widnes,Europe,United Kingdom,United Kingdom,1877-06-07,1918-11-12,male,22,Charles Glover Barkla,"Widnes, United Kingdom",for his discovery of the characteristic R&ouml;ntgen radiation of the elements,1,133823,3920596,received,1,Physics,charlesgloverbarkla1917physics,,0
114,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),1964,Physics,The Nobel Prize in Physics,"Greenville, SC","Greenville, SC",North America,USA,USA,1915-07-28,,male,81,Charles H. Townes,"Greenville, SC, USA","for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",1/2,273000,2828039,received,1,Physics,charleshtownes1964physics,,0
115,Harlow,Harlow,United Kingdom,United Kingdom,"Harlow, United Kingdom",Standard Telecommunication Laboratories,Standard Telecommunication Laboratories,2009,Physics,The Nobel Prize in Physics,Shanghai,Shanghai,Asia,China,China,1933-11-04,2009-10-06,male,838,Charles K. Kao,"Shanghai, China",for groundbreaking achievements concerning the transmission of light in fibers for optical communication,1/2,10000000,10958504,received,1,Physics,charleskkao2009physics,,0
116,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Institute for Advanced Study,Institute for Advanced Study,1957,Physics,The Nobel Prize in Physics,"Hofei, Anhwei","Hofei, Anhwei",Asia,China,China,1922-09-22,,male,68,Chen Ning Yang,"Hofei, Anhwei, China",for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,1/2,208629,2697789,received,1,Physics,chenningyang1957physics,,0
117,Paris,Paris,France,France,"Paris, France",Collège de France,Collège de France,1997,Physics,The Nobel Prize in Physics,Constantine,Constantine,Africa,French Algeria,Algeria,1933-04-01,1997-10-15,male,153,Claude Cohen-Tannoudji,"Constantine, French Algeria (now Algeria)",for development of methods to cool and trap atoms with laser light,1/3,7500000,9572839,received,2,Physics,claudecohen-tannoudji1997physics,claudetannoudji1997physics,26
118,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),1994,Physics,The Nobel Prize in Physics,"Pittsburgh, PA","Pittsburgh, PA",North America,USA,USA,1915-09-23,1994-10-12,male,146,Clifford G. Shull,"Pittsburgh, PA, USA",for the development of the neutron diffraction technique,1/2,7000000,9249471,received,2,Physics,cliffordgshull1994physics,,0
119,"New York, NY","New York, NY",USA,USA,"New York, NY, USA",Bell Telephone Laboratories,Bell Telephone Laboratories,1937,Physics,The Nobel Prize in Physics,"Bloomington, IL","Bloomington, IL",North America,USA,USA,1881-10-22,,male,44,Clinton Davisson,"Bloomington, IL, USA",for their experimental discovery of the diffraction of electrons by crystals,1/2,158463,4716161,received,1,Physics,clintondavisson1937physics,,0
120,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,1998,Physics,The Nobel Prize in Physics,Henan,Henan,Asia,China,China,1939-02-28,1998-10-13,male,157,Daniel C. Tsui,"Henan, China",for their discovery of a new form of quantum fluid with fractionally charged excitations,1/3,7600000,9713701,received,3,Physics,danielctsui1998physics,,0
121,"Santa Barbara, CA","Santa Barbara, CA",USA,USA,"Santa Barbara, CA, USA","University of California, Kavli Institute for Theoretical Physics","University of California, Kavli Institute for Theoretical Physics",2004,Physics,The Nobel Prize in Physics,"Washington, DC","Washington, DC",North America,USA,USA,1941-02-19,2004-10-05,male,776,David J. Gross,"Washington, DC, USA",for the discovery of asymptotic freedom in the theory of the strong interaction,1/3,10000000,11762861,received,1,Physics,davidjgross2004physics,davidgross2004physics,21
122,"Seattle, WA","Seattle, WA",USA,USA,"Seattle, WA, USA",University of Washington,University of Washington,2016,Physics,The Nobel Prize in Physics,Bearsden,Bearsden,Europe,United Kingdom,United Kingdom,1934-09-21,2016-10-04,male,928,David J. Thouless,"Bearsden, United Kingdom",for theoretical discoveries of topological phase transitions and topological phases of matter,1/2,8000000,8301051,received,1,Physics,davidjthouless2016physics,,0
123,"Boulder, CO","Boulder, CO",USA,USA,"Boulder, CO, USA",National Institute of Standards and Technology,National Institute of Standards and Technology,2012,Physics,The Nobel Prize in Physics,"Milwaukee, WI","Milwaukee, WI",North America,USA,USA,1944-02-24,2012-10-09,male,877,David J. Wineland,"Milwaukee, WI, USA",for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,1/2,8000000,8361204,received,2,Physics,davidjwineland2012physics,,0
124,"Ithaca, NY","Ithaca, NY",USA,USA,"Ithaca, NY, USA",Cornell University,Cornell University,1996,Physics,The Nobel Prize in Physics,"Rye, NY","Rye, NY",North America,USA,USA,1931-01-20,1996-10-09,male,149,David M. Lee,"Rye, NY, USA",for their discovery of superfluidity in helium-3,1/3,7400000,9490424,received,1,Physics,davidmlee1996physics,davidlee1996physics,19
125,London,London,United Kingdom,United Kingdom,"London, United Kingdom",Imperial College,Imperial College,1971,Physics,The Nobel Prize in Physics,Budapest,Budapest,Europe,Hungary,Hungary,1900-06-05,,male,93,Dennis Gabor,"Budapest, Hungary",for his invention and development of the holographic method,1,450000,3321850,received,1,Physics,dennisgabor1971physics,dennisgabor1971physics,22
126,Geneva,Geneva,Switzerland,Switzerland,"Geneva, Switzerland",University of Geneva,University of Geneva,2019,Physics,The Nobel Prize in Physics,Geneva,Geneva,Europe,Switzerland,Switzerland,1966-02-23,2019-10-08,,975,Didier Queloz,"Geneva, Switzerland",for the discovery of an exoplanet orbiting a solar-type star,1/4,9000000,9000000,received,3,Physics,didierqueloz2019physics,,0
127,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,1960,Physics,The Nobel Prize in Physics,"Cleveland, OH","Cleveland, OH",North America,USA,USA,1926-09-21,1960-11-03,male,74,Donald A. Glaser,"Cleveland, OH, USA",for the invention of the bubble chamber,1,225987,2664941,received,1,Physics,donaldaglaser1960physics,donaldglaser1960physics,23
128,Waterloo,Waterloo,Canada,Canada,"Waterloo, Canada",University of Waterloo,University of Waterloo,2018,Physics,The Nobel Prize in Physics,Guelph,Guelph,North America,Canada,Canada,1959-05-27,2018-10-02,female,962,Donna Strickland,"Guelph, Canada","for their method of generating high-intensity, ultra-short optical pulses",1/4,9000000,9000000,received,3,Physics,donnastrickland2018physics,,0
129,"Stanford, CA","Stanford, CA",USA,USA,"Stanford, CA, USA",Stanford University,Stanford University,1996,Physics,The Nobel Prize in Physics,"Aberdeen, WA","Aberdeen, WA",North America,USA,USA,1945-08-01,1996-10-09,male,150,Douglas D. Osheroff,"Aberdeen, WA, USA",for their discovery of superfluidity in helium-3,1/3,7400000,9490424,received,2,Physics,douglasdosheroff1996physics,douglasosheroff1996physics,26
130,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Harvard University,Harvard University,1952,Physics,The Nobel Prize in Physics,"Taylorville, IL","Taylorville, IL",North America,USA,USA,1912-08-30,,male,59,E. M. Purcell,"Taylorville, IL, USA",for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,1/2,171135,2546652,received,2,Physics,empurcell1952physics,,0
131,London,London,United Kingdom,United Kingdom,"London, United Kingdom",Department of Scientific and Industrial Research,Department of Scientific and Industrial Research,1947,Physics,The Nobel Prize in Physics,Bradford,Bradford,Europe,United Kingdom,United Kingdom,1892-09-06,,male,52,Edward V. Appleton,"Bradford, United Kingdom",for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,1,146115,2914528,received,1,Physics,edwardvappleton1947physics,,0
132,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,1959,Physics,The Nobel Prize in Physics,Tivoli,Tivoli,Europe,Italy,Italy,1905-02-01,,male,72,Emilio Segrè,"Tivoli, Italy",for their discovery of the antiproton,1/2,220678,2704387,received,1,Physics,emiliosegrè1959physics,emilio1959physics,17
133,Rome,Rome,Italy,Italy,"Rome, Italy",Rome University,Rome University,1938,Physics,The Nobel Prize in Physics,Rome,Rome,Europe,Italy,Italy,1901-09-29,,male,46,Enrico Fermi,"Rome, Italy","for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",1,155077,4543271,received,1,Physics,enricofermi1938physics,,0
134,"Boulder, CO","Boulder, CO",USA,USA,"Boulder, CO, USA","University of Colorado, JILA","University of Colorado, JILA",2001,Physics,The Nobel Prize in Physics,"Palo Alto, CA","Palo Alto, CA",North America,USA,USA,1961-12-19,2001-10-09,male,738,Eric Cornell,"Palo Alto, CA, USA","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",1/3,10000000,12295082,received,1,Physics,ericcornell2001physics,,0
135,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,1939,Physics,The Nobel Prize in Physics,"Canton, SD","Canton, SD",North America,USA,USA,1901-08-08,,male,47,Ernest Lawrence,"Canton, SD, USA","for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",1,148822,4227898,received,1,Physics,ernestlawrence1939physics,,0
136,Dublin,Dublin,Ireland,Ireland,"Dublin, Ireland",Trinity College,Trinity College,1951,Physics,The Nobel Prize in Physics,Dungarvan,Dungarvan,Europe,Ireland,Ireland,1903-10-06,,male,57,Ernest T.S. Walton,"Dungarvan, Ireland",for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,1/2,167612,2686090,received,2,Physics,ernesttswalton1951physics,,0
137,Berlin,Berlin,Germany,Germany,"Berlin, Germany",Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,1986,Physics,The Nobel Prize in Physics,Heidelberg,Heidelberg,Europe,Germany,Germany,1906-12-25,1986-10-15,male,127,Ernst Ruska,"Heidelberg, Germany","for his fundamental work in electron optics, and for the design of the first electron microscope",1/2,2000000,4098361,received,1,Physics,ernstruska1986physics,,0
138,Berlin,Berlin,Germany,Germany,"Berlin, Germany",Berlin University,Berlin University,1933,Physics,The Nobel Prize in Physics,Vienna,Vienna,Europe,Austria,Austria,1887-08-12,,male,39,Erwin Schrödinger,"Vienna, Austria",for the discovery of new productive forms of atomic theory,1/2,170332,5413093,received,1,Physics,erwinschrödinger1933physics,,0
139,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,1963,Physics,The Nobel Prize in Physics,Budapest,Budapest,Europe,Austria-Hungary,Hungary,1902-11-17,,male,78,Eugene Wigner,"Budapest, Austria-Hungary (now Hungary)","for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",1/2,265000,2839286,received,1,Physics,eugenewigner1963physics,eugenewigner1963physics,23
140,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,2016,Physics,The Nobel Prize in Physics,London,London,Europe,United Kingdom,United Kingdom,1951-09-14,2016-10-04,male,929,F. Duncan M. Haldane,"London, United Kingdom",for theoretical discoveries of topological phase transitions and topological phases of matter,1/4,8000000,8301051,received,2,Physics,fduncanmhaldane2016physics,,0
141,"Stanford, CA","Stanford, CA",USA,USA,"Stanford, CA, USA",Stanford University,Stanford University,1952,Physics,The Nobel Prize in Physics,Zurich,Zurich,Europe,Switzerland,Switzerland,1905-10-23,,male,58,Felix Bloch,"Zurich, Switzerland",for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,1/2,171135,2546652,received,1,Physics,felixbloch1952physics,felixbloch1952physics,21
142,Strasbourg,Strasbourg,Germany,France,"Strasbourg, Germany (now France)",Strasbourg University,Strasbourg University,1909,Physics,The Nobel Prize in Physics,Fulda,Fulda,Europe,Hesse-Kassel,Germany,1850-06-06,,male,14,Ferdinand Braun,"Fulda, Hesse-Kassel (now Germany)",in recognition of their contributions to the development of wireless telegraphy,1/2,139800,7084459,received,2,Physics,ferdinandbraun1909physics,,0
143,Brussels,Brussels,Belgium,Belgium,"Brussels, Belgium",Université Libre de Bruxelles,Université Libre de Bruxelles,2013,Physics,The Nobel Prize in Physics,Etterbeek,Etterbeek,Europe,Belgium,Belgium,1932-11-06,2013-10-08,male,887,François Englert,"Etterbeek, Belgium","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",1/2,8000000,8365867,received,1,Physics,françoisenglert2013physics,oisenglert2013physics,21
144,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),2004,Physics,The Nobel Prize in Physics,"New York, NY","New York, NY",North America,USA,USA,1951-05-15,2004-10-05,male,778,Frank Wilczek,"New York, NY, USA",for the discovery of asymptotic freedom in the theory of the strong interaction,1/3,10000000,11762861,received,3,Physics,frankwilczek2004physics,,0
145,"Irvine, CA","Irvine, CA",USA,USA,"Irvine, CA, USA",University of California,University of California,1995,Physics,The Nobel Prize in Physics,"Paterson, NJ","Paterson, NJ",North America,USA,USA,1918-03-16,1995-10-11,male,148,Frederick Reines,"Paterson, NJ, USA",for the detection of the neutrino,1/2,7200000,9278351,received,2,Physics,frederickreines1995physics,frederickreines1995physics,26
146,Groningen,Groningen,the Netherlands,the Netherlands,"Groningen, the Netherlands",Groningen University,Groningen University,1953,Physics,The Nobel Prize in Physics,Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,1888-07-16,,male,60,Frits Zernike,"Amsterdam, the Netherlands","for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",1,175293,2567769,received,1,Physics,fritszernike1953physics,,0
147,Paris,Paris,France,France,"Paris, France",Sorbonne University,Sorbonne University,1908,Physics,The Nobel Prize in Physics,Hollerich,Hollerich,Europe,Luxembourg,Luxembourg,1845-08-16,,male,12,Gabriel Lippmann,"Hollerich, Luxembourg",for his method of reproducing colours photographically based on the phenomenon of interference,1,139800,7084459,received,1,Physics,gabriellippmann1908physics,gabriellippmann1908physics,26
148,"Murray Hill, NJ","Murray Hill, NJ",USA,USA,"Murray Hill, NJ, USA",Bell Laboratories,Bell Laboratories,2009,Physics,The Nobel Prize in Physics,"White Plains, NY","White Plains, NY",North America,USA,USA,1930-05-10,2009-10-06,male,840,George E. Smith,"White Plains, NY, USA",for the invention of an imaging semiconductor circuit - the CCD sensor,1/4,10000000,10958504,received,3,Physics,georgeesmith2009physics,,0
149,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,2006,Physics,The Nobel Prize in Physics,"Yukon, FL","Yukon, FL",North America,USA,USA,1945-02-20,2006-10-03,male,805,George F. Smoot,"Yukon, FL, USA",for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,1/2,10000000,11552680,received,2,Physics,georgefsmoot2006physics,,0
150,London,London,United Kingdom,United Kingdom,"London, United Kingdom",London University,London University,1937,Physics,The Nobel Prize in Physics,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,1892-05-03,,male,45,George Paget Thomson,"Cambridge, United Kingdom",for their experimental discovery of the diffraction of electrons by crystals,1/2,158463,4716161,received,2,Physics,georgepagetthomson1937physics,,0
151,Paris,Paris,France,France,"Paris, France",École Supérieure de Physique et Chimie,École Supérieure de Physique et Chimie,1992,Physics,The Nobel Prize in Physics,Dabrovica,Dabrovica,Europe,Poland,Poland,1924-08-01,1992-10-14,male,142,Georges Charpak,"Dabrovica, Poland","for his invention and development of particle detectors, in particular the multiwire proportional chamber",1,6500000,9184250,received,1,Physics,georgescharpak1992physics,georgescharpak1992physics,25
152,Palaiseau,Palaiseau,France,France,"Palaiseau, France",École Polytechnique,École Polytechnique,2018,Physics,The Nobel Prize in Physics,Albertville,Albertville,Europe,France,France,1944-06-22,2018-10-02,male,961,Gérard Mourou,"Albertville, France","for their method of generating high-intensity, ultra-short optical pulses",1/4,9000000,9000000,received,2,Physics,gérardmourou2018physics,,0
153,Utrecht,Utrecht,the Netherlands,the Netherlands,"Utrecht, the Netherlands",Utrecht University,Utrecht University,1999,Physics,The Nobel Prize in Physics,Den Helder,Den Helder,Europe,the Netherlands,the Netherlands,1946-07-05,1999-10-12,male,158,Gerardus 't Hooft,"Den Helder, the Netherlands",for elucidating the quantum structure of electroweak interactions in physics,1/2,7900000,10049186,received,1,Physics,gerardus'thooft1999physics,,0
154,Rüschlikon,Rüschlikon,Switzerland,Switzerland,"Rüschlikon, Switzerland",IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,1986,Physics,The Nobel Prize in Physics,Frankfurt-on-the-Main,Frankfurt-on-the-Main,Europe,West Germany,Germany,1947-07-20,1986-10-15,male,128,Gerd Binnig,"Frankfurt-on-the-Main, West Germany (now Germany)",for their design of the scanning tunneling microscope,1/4,2000000,4098361,received,2,Physics,gerdbinnig1986physics,,0
155,London,London,United Kingdom,United Kingdom,"London, United Kingdom",Marconi Wireless Telegraph Co. Ltd.,Marconi Wireless Telegraph Co. Ltd.,1909,Physics,The Nobel Prize in Physics,Bologna,Bologna,Europe,Italy,Italy,1874-04-25,,male,13,Guglielmo Marconi,"Bologna, Italy",in recognition of their contributions to the development of wireless telegraphy,1/2,139800,7084459,received,1,Physics,guglielmomarconi1909physics,,0
156,"Lidingö, Stockholm","Lidingö, Stockholm",Sweden,Sweden,"Lidingö, Stockholm, Sweden",Swedish Gas-Accumulator Co.,Swedish Gas-Accumulator Co.,1912,Physics,The Nobel Prize in Physics,Stenstorp,Stenstorp,Europe,Sweden,Sweden,1869-11-30,,male,17,Gustaf Dalén,"Stenstorp, Sweden",for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,1,140476,6753654,received,1,Physics,gustafdalén1912physics,,0
157,Halle,Halle,Germany,Germany,"Halle, Germany",Halle University,Halle University,1925,Physics,The Nobel Prize in Physics,Hamburg,Hamburg,Europe,Germany,Germany,1887-07-22,,male,31,Gustav Hertz,"Hamburg, Germany",for their discovery of the laws governing the impact of an electron upon an atom,1/2,118165,3211005,received,2,Physics,gustavhertz1925physics,,0
158,"Pasadena, CA","Pasadena, CA",USA,USA,"Pasadena, CA, USA",California Institute of Technology (Caltech),California Institute of Technology (Caltech),2004,Physics,The Nobel Prize in Physics,"New York, NY","New York, NY",North America,USA,USA,1949-08-31,2004-10-05,male,777,H. David Politzer,"New York, NY, USA",for the discovery of asymptotic freedom in the theory of the strong interaction,1/3,10000000,11762861,received,2,Physics,hdavidpolitzer2004physics,davidpolitzer2004physics,24
159,Stockholm,Stockholm,Sweden,Sweden,"Stockholm, Sweden",Royal Institute of Technology,Royal Institute of Technology,1970,Physics,The Nobel Prize in Physics,Norrköping,Norrköping,Europe,Sweden,Sweden,1908-05-30,1970-10-27,male,91,Hannes Alfvén,"Norrköping, Sweden",for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,1/2,400000,3177966,received,1,Physics,hannesalfvén1970physics,,0
160,"Ithaca, NY","Ithaca, NY",USA,USA,"Ithaca, NY, USA",Cornell University,Cornell University,1967,Physics,The Nobel Prize in Physics,Strasbourg,Strasbourg,Europe,Germany,France,1906-07-02,,male,88,Hans Bethe,"Strasbourg, Germany (now France)","for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",1,320000,2843602,received,1,Physics,hansbethe1967physics,hansbethe1967physics,20
161,"Seattle, WA","Seattle, WA",USA,USA,"Seattle, WA, USA",University of Washington,University of Washington,1989,Physics,The Nobel Prize in Physics,Görlitz,Görlitz,Europe,Prussia,Germany,1922-09-09,1989-10-12,male,136,Hans G. Dehmelt,"Görlitz, Prussia (now Germany)",for the development of the ion trap technique,1/4,3000000,5242311,received,2,Physics,hansgdehmelt1989physics,,0
162,Leiden,Leiden,the Netherlands,the Netherlands,"Leiden, the Netherlands",Leiden University,Leiden University,1913,Physics,The Nobel Prize in Physics,Groningen,Groningen,Europe,the Netherlands,the Netherlands,1853-09-21,,male,18,Heike Kamerlingh Onnes,"Groningen, the Netherlands","for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",1,143010,6875481,received,1,Physics,heikekamerlinghonnes1913physics,,0
163,Rüschlikon,Rüschlikon,Switzerland,Switzerland,"Rüschlikon, Switzerland",IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,1986,Physics,The Nobel Prize in Physics,Buchs,Buchs,Europe,Switzerland,Switzerland,1933-06-06,1986-10-15,male,129,Heinrich Rohrer,"Buchs, Switzerland",for their design of the scanning tunneling microscope,1/4,2000000,4098361,received,3,Physics,heinrichrohrer1986physics,,0
164,Leiden,Leiden,the Netherlands,the Netherlands,"Leiden, the Netherlands",Leiden University,Leiden University,1902,Physics,The Nobel Prize in Physics,Arnhem,Arnhem,Europe,the Netherlands,the Netherlands,1853-07-18,,male,2,Hendrik A. Lorentz,"Arnhem, the Netherlands",in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,141847,8059489,received,1,Physics,hendrikalorentz1902physics,,0
165,Paris,Paris,France,France,"Paris, France",École Polytechnique,École Polytechnique,1903,Physics,The Nobel Prize in Physics,Paris,Paris,Europe,France,France,1852-12-15,,male,4,Henri Becquerel,"Paris, France",in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1/2,141358,7795478,received,1,Physics,henribecquerel1903physics,,0
166,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),1990,Physics,The Nobel Prize in Physics,"Boston, MA","Boston, MA",North America,USA,USA,1926-12-09,1990-10-17,male,139,Henry W. Kendall,"Boston, MA, USA","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,4000000,6329114,received,2,Physics,henrywkendall1990physics,,0
167,"Santa Barbara, CA","Santa Barbara, CA",USA,USA,"Santa Barbara, CA, USA",University of California,University of California,2000,Physics,The Nobel Prize in Physics,Weimar,Weimar,Europe,Germany,Germany,1928-08-25,2000-10-10,male,727,Herbert Kroemer,"Weimar, Germany",for developing semiconductor heterostructures used in high-speed- and opto-electronics,1/4,9000000,11333109,received,2,Physics,herbertkroemer2000physics,,0
168,Kyoto,Kyoto,Japan,Japan,"Kyoto, Japan",Kyoto Imperial University,Kyoto Imperial University,1949,Physics,The Nobel Prize in Physics,Tokyo,Tokyo,Asia,Japan,Japan,1907-01-23,,male,54,Hideki Yukawa,"Tokyo, Japan",for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,1,156290,2930438,received,1,Physics,hidekiyukawa1949physics,,0
169,Nagoya,Nagoya,Japan,Japan,"Nagoya, Japan",Nagoya University,Nagoya University,2014,Physics,The Nobel Prize in Physics,Hamamatsu,Hamamatsu,Asia,Japan,Japan,1960-09-11,2014-10-07,male,907,Hiroshi Amano,"Hamamatsu, Japan",for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,8000000,8379888,received,2,Physics,hiroshiamano2014physics,,0
170,"New York, NY","New York, NY",USA,USA,"New York, NY, USA",Columbia University,Columbia University,1998,Physics,The Nobel Prize in Physics,Frankfurt-on-the-Main,Frankfurt-on-the-Main,Europe,West Germany,Germany,1949-04-06,1998-10-13,male,156,Horst L. Störmer,"Frankfurt-on-the-Main, West Germany (now Germany)",for their discovery of a new form of quantum fluid with fractionally charged excitations,1/3,7600000,9713701,received,2,Physics,horstlstörmer1998physics,,0
171,Moscow,Moscow,USSR,Russia,"Moscow, USSR (now Russia)",Lomonosov Moscow State University,Lomonosov Moscow State University,1958,Physics,The Nobel Prize in Physics,Vladivostok,Vladivostok,Europe,Russia,Russia,1895-07-08,,male,71,Igor Y. Tamm,"Vladivostok, Russia",for the discovery and the interpretation of the Cherenkov effect,1/3,214559,2646698,received,3,Physics,igorytamm1958physics,igortamm1958physics,19
172,Moscow,Moscow,USSR,Russia,"Moscow, USSR (now Russia)",Lomonosov Moscow State University,Lomonosov Moscow State University,1958,Physics,The Nobel Prize in Physics,Leningrad,St. Petersburg,Europe,Russia,Russia,1908-10-23,,male,721,Il´ja M. Frank,"Leningrad (now St. Petersburg), Russia",for the discovery and the interpretation of the Cherenkov effect,1/3,214559,2646698,received,2,Physics,il´jamfrank1958physics,ilyafrank1958physics,20
173,Nagoya,Nagoya,Japan,Japan,"Nagoya, Japan",Meijo University,Meijo University,2014,Physics,The Nobel Prize in Physics,Chiran,Chiran,Asia,Japan,Japan,1929-01-30,2014-10-07,male,906,Isamu Akasaki,"Chiran, Japan",for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,8000000,8379888,received,1,Physics,isamuakasaki2014physics,,0
174,"New York, NY","New York, NY",USA,USA,"New York, NY, USA",Columbia University,Columbia University,1944,Physics,The Nobel Prize in Physics,Rymanow,Rymanow,Europe,Austria-Hungary,Poland,1898-07-29,,male,49,Isidor Isaac Rabi,"Rymanow, Austria-Hungary (now Poland)",for his resonance method for recording the magnetic properties of atomic nuclei,1,121841,2510460,received,1,Physics,isidorisaacrabi1944physics,isidorrabi1944physics,21
175,"Schenectady, NY","Schenectady, NY",USA,USA,"Schenectady, NY, USA",General Electric Company,General Electric Company,1973,Physics,The Nobel Prize in Physics,Bergen,Bergen,Europe,Norway,Norway,1929-04-05,1973-10-23,male,98,Ivar Giaever,"Bergen, Norway","for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",1/4,510000,3331882,received,2,Physics,ivargiaever1973physics,,0
176,Rüschlikon,Rüschlikon,Switzerland,Switzerland,"Rüschlikon, Switzerland",IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,1987,Physics,The Nobel Prize in Physics,Neuenkirchen,Neuenkirchen,Europe,West Germany,Germany,1950-05-16,1987-10-14,male,130,J. Georg Bednorz,"Neuenkirchen, West Germany (now Germany)",for their important break-through in the discovery of superconductivity in ceramic materials,1/2,2175000,4274764,received,1,Physics,jgeorgbednorz1987physics,,0
